timestamp,Rad_avg,Tamb_avg,Tmod_avg,Rad_max,Tamb_max,Tmod_max,Rad_min,Tamb_min,Tmod_min,Rad_std,Tamb_std,Tmod_std,Pa1
2019-07-04 13:20:00+00:00,885.0090909090908,25.772727272727273,46.24545454545455,887.5,26.2,46.7,881.3,25.1,46.0,1.9044445623092205,0.38494391563163693,0.21148823307047596,25415.513636363637
2019-07-04 13:30:00+00:00,880.3411764705883,26.105882352941176,46.1764705882353,886.2,27.5,46.7,876.5,25.2,45.6,2.890730622076665,0.6647091358587739,0.2862023142916215,25276.88705882353
2019-07-04 13:40:00+00:00,870.6277777777777,27.549999999999997,47.27222222222222,876.5,28.2,48.7,860.6,26.6,46.0,4.551897542984649,0.3899472060797609,0.8294615940160914,24882.678888888888
2019-07-04 13:50:00+00:00,857.2071428571429,27.107142857142858,48.292857142857144,861.8,27.6,48.8,852.1,26.5,47.8,3.2433278934107004,0.3583386574270121,0.36047892441175955,24440.942142857144
2019-07-04 14:00:00+00:00,846.7470588235294,27.141176470588235,48.26470588235293,852.1,27.7,48.4,842.3,26.1,47.9,2.213909903050144,0.42874646285627194,0.18007351439963523,24142.7
2019-07-04 14:10:00+00:00,834.9624999999999,26.499999999999996,47.05625,844.7,27.2,47.7,825.2,25.7,46.7,5.680126172307565,0.48442405665559846,0.3244867742553819,23886.021249999998
2019-07-04 14:20:00+00:00,818.0615384615384,27.092307692307692,46.43846153846153,828.9,28.5,47.0,806.9,26.3,46.3,6.247071108599463,0.6211032368046637,0.1804552647170563,23382.597692307692
2019-07-04 14:30:00+00:00,800.4750000000001,27.031249999999993,45.96875,808.1,28.1,46.9,791.0,26.0,45.6,4.770674305937676,0.6436549282547818,0.4174825345648182,23010.941250000003
2019-07-04 14:40:00+00:00,785.9,27.673333333333332,45.75333333333334,794.7,28.6,46.1,775.1,26.8,45.0,5.433625466876297,0.477293959535969,0.36423435679060817,22561.974666666665
2019-07-04 14:50:00+00:00,761.530769230769,29.6,45.23846153846154,772.7,30.5,45.4,743.4,28.8,45.0,10.913629446353221,0.43588989435406766,0.11929278784054155,22015.320769230773
